name,time,RMSE_train,RMSE_test,MAE_train,MAE_test,NMSE_train,NMSE_test,r2_train,r2_test
results/RocketFuel_noise,2,18.625530671861576,22.82265651325311,15.367429817491988,18.749140508457824,2.6069624127690086e-3,3.077888302746193e-3,0.997393037587231,0.9969221116972538
results/RocketFuel_noise,3,18.56763860804195,22.790020627407493,15.40033361570929,18.881117710986413,2.5907816243976476e-3,3.0690919743352127e-3,0.9974092183756024,0.9969309080256648
results/RocketFuel_noise,3,18.453139290617102,23.079195984556865,15.280697000283318,19.11171307559137,2.558927483504987e-3,3.147471579362372e-3,0.997441072516495,0.9968525284206377
results/RocketFuel_noise,3,18.501820673812464,23.266542298749986,15.115291780119183,18.977469438477623,2.5724467492325652e-3,3.1987784380225616e-3,0.9974275532507675,0.9968012215619775
results/RocketFuel_noise,3,18.563098189112562,23.046654363322148,15.286150113952084,18.956959464983587,2.589514710933605e-3,3.1386019792816336e-3,0.9974104852890664,0.9968613980207184
results/RocketFuel_noise,3,18.55140794999222,22.87912485234034,15.235324926242894,18.729678244742708,2.5862542084190776e-3,3.0931379082624116e-3,0.9974137457915809,0.9969068620917376
results/RocketFuel_noise,3,18.576206794243586,23.029957265814687,15.28634292795759,18.923177514005303,2.5931732501316717e-3,3.1340558478750767e-3,0.9974068267498684,0.9968659441521249
results/RocketFuel_noise,2,18.60463583491238,22.72954580835016,15.514247679371424,18.852875273383017,2.6011165122056057e-3,3.0528255101443663e-3,0.9973988834877944,0.9969471744898556
results/RocketFuel_noise,2,18.545082912975285,22.84436073403689,15.38755229190284,18.839837544557383,2.5844909605814794e-3,3.0837451960446637e-3,0.9974155090394186,0.9969162548039553
results/RocketFuel_noise,2,18.528297925772147,22.850444403475375,15.31515481041054,18.83814091737021,2.579814678875211e-3,3.085387875800182e-3,0.9974201853211248,0.9969146121241999
