name,time,RMSE_train,RMSE_test,MAE_train,MAE_test,NMSE_train,NMSE_test,r2_train,r2_test
results/RocketFuel_noise,90,18.54508291297434,22.844358992600664,15.387551618688535,18.83983590266599,2.5844909605812157e-3,3.0837447258940253e-3,0.9974155090394188,0.996916255274106
results/RocketFuel_noise,86,18.59192764283518,22.98352012365484,15.533900718384967,19.101112025178473,2.5975642579172337e-3,3.1214296960559835e-3,0.9974024357420828,0.996878570303944
results/RocketFuel_noise,83,18.546353131592358,22.82046472532316,15.266559508952685,18.710096849108275,2.5848450146428023e-3,3.077297157320516e-3,0.9974151549853572,0.9969227028426795
results/RocketFuel_noise,98,18.556797796936387,22.93389896669992,15.41598273761158,19.05503438943918,2.5877572252621314e-3,3.1079659837698888e-3,0.9974122427747378,0.9968920340162302
results/RocketFuel_noise,84,18.651204382975074,22.93268165744749,15.47109434973582,19.039699586282108,2.614154318329518e-3,3.107636056848579e-3,0.9973858456816704,0.9968923639431514
results/RocketFuel_noise,88,18.616577244741144,22.73401051507009,15.513270019058973,18.84342452135199,2.604456643862199e-3,3.0540249453935376e-3,0.9973955433561378,0.9969459750546065
results/RocketFuel_noise,79,18.548336612333618,22.824287881552745,15.395865831142025,18.921030738721452,2.585397928137759e-3,3.0783283346820997e-3,0.9974146020718623,0.9969216716653179
results/RocketFuel_noise,94,18.541361528507487,22.83613063535911,15.415149670070955,18.930480121099805,2.5834538210262217e-3,3.0815236451037886e-3,0.9974165461789738,0.9969184763548962
results/RocketFuel_noise,100,18.45322082258568,23.00427685715226,15.16040189985705,18.883431155329582,2.558950095902021e-3,3.1270702542179015e-3,0.997441049904098,0.9968729297457821
results/RocketFuel_noise,92,18.570033143785093,23.089503124259036,15.272472223147611,18.991598743197606,2.5914498966920353e-3,3.150283520770507e-3,0.997408550103308,0.9968497164792295
