name,time,RMSE_train,RMSE_test,MAE_train,MAE_test,NMSE_train,NMSE_test,r2_train,r2_test
results/aircraft,181,4.2889439579483414e-2,5.0666324766441936e-2,3.642523614983649e-2,4.184304262606944e-2,1.3770383879049954e-3,2.0525051010471264e-3,0.998622961612095,0.9979474948989528
results/aircraft,152,4.285186139083971e-2,4.847043839863044e-2,3.286981554595991e-2,3.609933899626712e-2,1.374626421716752e-3,1.8784486847042434e-3,0.9986253735782833,0.9981215513152958
results/aircraft,166,2.9864083976855398e-2,3.3374007425999386e-2,2.4787683782581702e-2,2.6730393806678538e-2,6.676420786074375e-4,8.905578915909428e-4,0.9993323579213925,0.999109442108409
results/aircraft,171,4.124049364782246e-2,4.5101707464620895e-2,3.309242288660863e-2,3.536385977662422e-2,1.2731894010258242e-3,1.6264151364560589e-3,0.9987268105989742,0.998373584863544
results/aircraft,152,5.897011999289286e-2,6.685801021525539e-2,4.8480557871318615e-2,5.1755966188568134e-2,2.6032107394794468e-3,3.573981782675891e-3,0.9973967892605206,0.9964260182173241
results/aircraft,158,5.086263848959628e-2,5.415359325859878e-2,3.6909921038551605e-2,4.008558748536523e-2,1.936614035403076e-3,2.3447686419149484e-3,0.9980633859645969,0.9976552313580851
results/aircraft,190,4.3780070574274396e-2,4.626639917104147e-2,3.5945081684140213e-2,3.75710103831477e-2,1.434822633965669e-3,1.711499753463739e-3,0.9985651773660343,0.9982885002465363
results/aircraft,158,4.1412596398636876e-2,4.2442998664382e-2,3.4699063093480295e-2,3.542698709041333e-2,1.2838379936017151e-3,1.4403152525298518e-3,0.9987161620063982,0.9985596847474701
results/aircraft,135,3.3728526909788996e-2,3.714143359241976e-2,2.3833535953067603e-2,3.0294760021896308e-2,8.51608626349027e-4,1.102967626146903e-3,0.999148391373651,0.9988970323738531
results/aircraft,145,4.5881943940320864e-2,5.3932756478665134e-2,3.5491455018640046e-2,4.21145200941722e-2,1.5759009748630864e-3,2.3256838382648484e-3,0.998424099025137,0.9976743161617352
