name,time,RMSE_train,RMSE_test,MAE_train,MAE_test,NMSE_train,NMSE_test,r2_train,r2_test
results/RocketFuel,3,3.2249411218200225e-12,4.055800840325206e-12,2.3851498553995044e-12,2.9626789910253136e-12,7.766136547641314e-29,9.901286110045806e-29,1.0,1.0
results/RocketFuel,3,3.3098688390086672e-12,4.164105376985895e-12,2.437445800751448e-12,3.1104718800634145e-12,8.180559552258949e-29,1.0437146776382435e-28,1.0,1.0
results/RocketFuel,2,3.3105716458621153e-12,4.219298252765463e-12,2.4215296434704215e-12,3.183231456205249e-12,8.184033988254812e-29,1.0715657401452867e-28,1.0,1.0
results/RocketFuel,2,3.2961733649707497e-12,4.029376529166353e-12,2.437445800751448e-12,3.050217856070958e-12,8.113001074561617e-29,9.772688885676693e-29,1.0,1.0
results/RocketFuel,2,3.201228367476621e-12,4.0616760811979034e-12,2.431761458865367e-12,3.184368324582465e-12,7.652348768776808e-29,9.929992931456698e-29,1.0,1.0
results/RocketFuel,2,3.26475266041057e-12,4.26819514183033e-12,2.4817836674628777e-12,3.270770321250893e-12,7.959064257522695e-29,1.0965461205112408e-28,1.0,1.0
results/RocketFuel,2,3.252516649108649e-12,4.209945022640525e-12,2.4238033802248538e-12,3.2150637707673015e-12,7.899516285038047e-29,1.0668201680421312e-28,1.0,1.0
results/RocketFuel,2,3.353414853651081e-12,4.078680680588648e-12,2.5431745598325507e-12,3.1241143005900085e-12,8.397229241445393e-29,1.0013312730185866e-28,1.0,1.0
results/RocketFuel,2,3.3629404441931243e-12,4.136935777450677e-12,2.496562956366688e-12,3.177547114319168e-12,8.445002736388506e-29,1.0301392295726597e-28,1.0,1.0
results/RocketFuel,2,3.3052187450169267e-12,4.2033853781400964e-12,2.551132638473064e-12,3.204831955372356e-12,8.157589669841856e-29,1.0634982675699225e-28,1.0,1.0
