name,time,RMSE_train,RMSE_test,MAE_train,MAE_test,NMSE_train,NMSE_test,r2_train,r2_test
results/F05128_dyn,70,1.5353268199635394e-3,6.503510388250497e-3,1.139346202117605e-3,4.958201449833184e-3,1.627333709145654e-2,0.6170154462539309,0.9837266629085435,0.382984553746069
results/F05128_dyn,68,1.8199200425412618e-3,3.0852098042346656e-3,1.4093386727296491e-3,2.541073037558099e-3,2.2865440023375105e-2,0.13885763534679987,0.9771345599766249,0.8611423646532002
results/F05128_dyn,57,1.5307125615008268e-3,6.4944321144370576e-3,1.1346225698297583e-3,4.966247775704834e-3,1.61756685743544e-2,0.6152940603247373,0.9838243314256456,0.38470593967526256
results/F05128_dyn,62,1.8193268942799901e-3,3.080032576598115e-3,1.4053877638975766e-3,2.5318309886808933e-3,2.2850537845789554e-2,0.13839199803254693,0.9771494621542105,0.861608001967453

results/F05128_dyn,40,1.95054845267216e-3,5.506209435542491e-3,1.370772911493834e-3,4.581936218510937e-3,2.626566697241538e-2,0.4422886679067186,0.9737343330275846,0.5577113320932814
results/F05128_dyn,79,1.5633466780171296e-3,6.506618578923543e-3,1.140459666805987e-3,4.934242694370533e-3,1.687273703306208e-2,0.6176053614915185,0.9831272629669379,0.38239463850848154
results/F05128_dyn,77,1.5018245002067945e-3,6.449451683917535e-3,1.0862586142570034e-3,4.98402182214473e-3,1.5570885731937495e-2,0.606800523521211,0.9844291142680625,0.39319947647878883
results/F05128_dyn,56,1.9505484526721585e-3,5.506209435542423e-3,1.370772911493837e-3,4.5819362185108795e-3,2.626566697241534e-2,0.44228866790670773,0.9737343330275846,0.5577113320932923
results/F05128_dyn,52,2.527728181114948e-3,4.759163047140596e-3,2.188917732328207e-3,3.623883255564339e-3,4.4109860909402616e-2,0.3304163483944075,0.9558901390905974,0.6695836516055924
results/F05128_dyn,59,3.5667623107050747e-3,2.394186078271574e-3,3.013000801272019e-3,1.9728144839947603e-3,8.782603680868574e-2,8.362115500896423e-2,0.9121739631913143,0.9163788449910357
results/F05128_dyn,64,1.5018245002067956e-3,6.44945168391755e-3,1.0862586142570015e-3,4.984021822144748e-3,1.5570885731937517e-2,0.6068005235212139,0.9844291142680625,0.39319947647878595
results/F05128_dyn,85,1.5018245002067934e-3,6.449451683917547e-3,1.0862586142570047e-3,4.984021822144731e-3,1.5570885731937474e-2,0.6068005235212134,0.9844291142680626,0.3931994764787865
results/F05128_dyn,69,2.001042325059535e-3,1.9672259868302147e-3,1.5367572323475634e-3,1.5742221522023368e-3,2.764314788292096e-2,5.645583889856025e-2,0.972356852117079,0.9435441611014398
results/F05128_dyn,69,3.911789495133385e-3,3.960067184359463e-3,3.207575447804957e-3,3.4981412226644105e-3,0.10563939366721353,0.22877336890231353,0.8943606063327865,0.7712266310976865
results/F05128_dyn,81,1.819920042541262e-3,3.0852098042346656e-3,1.4093386727296491e-3,2.541073037558099e-3,2.286544002337511e-2,0.13885763534679987,0.9771345599766249,0.8611423646532002
results/F05128_dyn,87,3.90930478269708e-3,3.683026690320532e-3,2.9324225574653344e-3,2.8079421299312454e-3,0.10550523504101038,0.19788373178309665,0.8944947649589896,0.8021162682169033
results/F05128_dyn,44,1.5667277845322623e-3,6.504036051103243e-3,1.1541149561486103e-3,4.953797650987177e-3,1.6945798513750478e-2,0.617115193986522,0.9830542014862496,0.38288480601347785
results/F05128_dyn,61,1.718135884727296e-3,5.87924293331724e-3,1.3882784980668828e-3,4.534801230359144e-3,2.0379332951836623e-2,0.504246823773311,0.9796206670481634,0.4957531762266889
results/F05128_dyn,75,2.4136838349792782e-3,2.084097527174567e-3,1.8781551001850704e-3,1.6863354081335005e-3,4.021941148212986e-2,6.336310285045336e-2,0.9597805885178702,0.9366368971495467
results/F05128_dyn,55,1.7181358847272949e-3,5.879242933317249e-3,1.3882784980668809e-3,4.534801230359143e-3,2.03793329518366e-2,0.5042468237733124,0.9796206670481634,0.4957531762266876
results/F05128_dyn,55,1.829431937869754e-3,5.366203300503e-3,1.4426623929144117e-3,4.452017178527126e-3,2.3105079169443914e-2,0.42008251340970826,0.9768949208305561,0.5799174865902916
results/F05128_dyn,57,1.819808772569628e-3,3.0803918872621266e-3,1.4082488131855575e-3,2.535065952135043e-3,2.2862644121328907e-2,0.138424289003453,0.9771373558786711,0.861575710996547
results/F05128_dyn,57,1.760264417076539e-3,3.204107846362148e-3,1.2622493340909836e-3,2.6637061222290997e-3,2.1390984236687432e-2,0.14976647586880718,0.9786090157633126,0.8502335241311928
results/F05128_dyn,60,1.8199200425412618e-3,3.0852098042346656e-3,1.4093386727296491e-3,2.541073037558099e-3,2.2865440023375105e-2,0.13885763534679987,0.9771345599766249,0.8611423646532002
results/F05128_dyn,76,1.5166656285386978e-3,6.4460946254540005e-3,1.0754506209258003e-3,4.9851136740846295e-3,1.5880151340842245e-2,0.6061689862160018,0.9841198486591578,0.3938310137839982
