
-14.016225921705308 + 3.928093291044525e-5*(sqrt.abs(V_inf^(2)*theta^(2)*r*Gamma^(3))) + 8.9769172963445e-2*(sqrt.abs(theta^(2)*r^(3)*R^(-2))) + 29.229110884065346*(tanh(r^(2)*R^(-1))),3.928093291044525e-5*((V_inf^(2)*theta^(2)*r*Gamma^(3) / (2*abs(V_inf^(2)*theta^(2)*r*Gamma^(3))^(1.5))) * (2 * V_inf*theta^(2)*r*Gamma^(3))),3.928093291044525e-5*((V_inf^(2)*theta^(2)*r*Gamma^(3) / (2*abs(V_inf^(2)*theta^(2)*r*Gamma^(3))^(1.5))) * (2 * V_inf^(2)*theta*r*Gamma^(3))) + 8.9769172963445e-2*((theta^(2)*r^(3)*R^(-2) / (2*abs(theta^(2)*r^(3)*R^(-2))^(1.5))) * (2 * theta*r^(3)*R^(-2))),3.928093291044525e-5*((V_inf^(2)*theta^(2)*r*Gamma^(3) / (2*abs(V_inf^(2)*theta^(2)*r*Gamma^(3))^(1.5))) * (1 * V_inf^(2)*theta^(2)*Gamma^(3))) + 8.9769172963445e-2*((theta^(2)*r^(3)*R^(-2) / (2*abs(theta^(2)*r^(3)*R^(-2))^(1.5))) * (3 * theta^(2)*r^(2)*R^(-2))) + 29.229110884065346*((1/(cosh(r^(2)*R^(-1))^2)) * (2 * r*R^(-1))),8.9769172963445e-2*((theta^(2)*r^(3)*R^(-2) / (2*abs(theta^(2)*r^(3)*R^(-2))^(1.5))) * (-2 * theta^(2)*r^(3)*R^(-3))) + 29.229110884065346*((1/(cosh(r^(2)*R^(-1))^2)) * (-1 * r^(2)*R^(-2))),3.928093291044525e-5*((V_inf^(2)*theta^(2)*r*Gamma^(3) / (2*abs(V_inf^(2)*theta^(2)*r*Gamma^(3))^(1.5))) * (3 * V_inf^(2)*theta^(2)*r*Gamma^(2)))
-16.394472459472322 + 35.95080404750675*(tanh(r^(2)*R^(-1))) + 2.230530799183576e-4*(sqrt(V_inf^(2)*theta^(2)*r^(3)*R^(-1)*Gamma^(2))),2.230530799183576e-4*((1/(sqrt(V_inf^(2)*theta^(2)*r^(3)*R^(-1)*Gamma^(2))^2)) * (2 * V_inf*theta^(2)*r^(3)*R^(-1)*Gamma^(2))),2.230530799183576e-4*((1/(sqrt(V_inf^(2)*theta^(2)*r^(3)*R^(-1)*Gamma^(2))^2)) * (2 * V_inf^(2)*theta*r^(3)*R^(-1)*Gamma^(2))),35.95080404750675*((1/(cosh(r^(2)*R^(-1))^2)) * (2 * r*R^(-1))) + 2.230530799183576e-4*((1/(sqrt(V_inf^(2)*theta^(2)*r^(3)*R^(-1)*Gamma^(2))^2)) * (3 * V_inf^(2)*theta^(2)*r^(2)*R^(-1)*Gamma^(2))),35.95080404750675*((1/(cosh(r^(2)*R^(-1))^2)) * (-1 * r^(2)*R^(-2))) + 2.230530799183576e-4*((1/(sqrt(V_inf^(2)*theta^(2)*r^(3)*R^(-1)*Gamma^(2))^2)) * (-1 * V_inf^(2)*theta^(2)*r^(3)*R^(-2)*Gamma^(2))),2.230530799183576e-4*((1/(sqrt(V_inf^(2)*theta^(2)*r^(3)*R^(-1)*Gamma^(2))^2)) * (2 * V_inf^(2)*theta^(2)*r^(3)*R^(-1)*Gamma))
17.128833741128503 + 1.1534227181247384e-4*(sqrt(V_inf^(2)*theta*r^(3)*R^(-3)*Gamma^(2))) + 17.128833741128528*(tanh(theta^(2)*r^(3)*Gamma^(3))) + 0.26277001015608725*(id(theta*r^(2))) + -24.650465385431314*(sqrt.abs(r^(-2)*R)),1.1534227181247384e-4*((1/(sqrt(V_inf^(2)*theta*r^(3)*R^(-3)*Gamma^(2))^2)) * (2 * V_inf*theta*r^(3)*R^(-3)*Gamma^(2))),1.1534227181247384e-4*((1/(sqrt(V_inf^(2)*theta*r^(3)*R^(-3)*Gamma^(2))^2)) * (1 * V_inf^(2)*r^(3)*R^(-3)*Gamma^(2))) + 17.128833741128528*((1/(cosh(theta^(2)*r^(3)*Gamma^(3))^2)) * (2 * theta*r^(3)*Gamma^(3))) + 0.26277001015608725*((1 * r^(2))),1.1534227181247384e-4*((1/(sqrt(V_inf^(2)*theta*r^(3)*R^(-3)*Gamma^(2))^2)) * (3 * V_inf^(2)*theta*r^(2)*R^(-3)*Gamma^(2))) + 17.128833741128528*((1/(cosh(theta^(2)*r^(3)*Gamma^(3))^2)) * (3 * theta^(2)*r^(2)*Gamma^(3))) + 0.26277001015608725*((2 * theta*r)) + -24.650465385431314*((r^(-2)*R / (2*abs(r^(-2)*R)^(1.5))) * (-2 * r^(-3)*R)),1.1534227181247384e-4*((1/(sqrt(V_inf^(2)*theta*r^(3)*R^(-3)*Gamma^(2))^2)) * (-3 * V_inf^(2)*theta*r^(3)*R^(-4)*Gamma^(2))) + -24.650465385431314*((r^(-2)*R / (2*abs(r^(-2)*R)^(1.5))) * (1 * r^(-2))),1.1534227181247384e-4*((1/(sqrt(V_inf^(2)*theta*r^(3)*R^(-3)*Gamma^(2))^2)) * (2 * V_inf^(2)*theta*r^(3)*R^(-3)*Gamma)) + 17.128833741128528*((1/(cosh(theta^(2)*r^(3)*Gamma^(3))^2)) * (3 * theta^(2)*r^(3)*Gamma^(2)))
-16.319590888440416 + 6.749562547263776e-3*(sqrt.abs(V_inf^(2)*theta*r*R^(-2))) + 12.998764579157084*(sqrt.abs(r^(3))) + 24.121568836474896*(tanh(r^(2)*R^(-1))),6.749562547263776e-3*((V_inf^(2)*theta*r*R^(-2) / (2*abs(V_inf^(2)*theta*r*R^(-2))^(1.5))) * (2 * V_inf*theta*r*R^(-2))),6.749562547263776e-3*((V_inf^(2)*theta*r*R^(-2) / (2*abs(V_inf^(2)*theta*r*R^(-2))^(1.5))) * (1 * V_inf^(2)*r*R^(-2))),6.749562547263776e-3*((V_inf^(2)*theta*r*R^(-2) / (2*abs(V_inf^(2)*theta*r*R^(-2))^(1.5))) * (1 * V_inf^(2)*theta*R^(-2))) + 12.998764579157084*((r^(3) / (2*abs(r^(3))^(1.5))) * (3 * r^(2))) + 24.121568836474896*((1/(cosh(r^(2)*R^(-1))^2)) * (2 * r*R^(-1))),6.749562547263776e-3*((V_inf^(2)*theta*r*R^(-2) / (2*abs(V_inf^(2)*theta*r*R^(-2))^(1.5))) * (-2 * V_inf^(2)*theta*r*R^(-3))) + 24.121568836474896*((1/(cosh(r^(2)*R^(-1))^2)) * (-1 * r^(2)*R^(-2))),
-14.82624714706978 + -9.222883834904724e-11*(tanh(V_inf^(-3)*theta^(-3)*R^(3)*Gamma^(-2))) + 32.35229149892122*(tanh(r^(2)*R^(-1))) + 1.7505877694418563e-4*(sqrt.abs(V_inf^(2)*theta^(2)*r^(3)*Gamma^(2))) + 2.093888852471598e-2*(sqrt.abs(theta^(2)*r^(3)*R^(-2)*Gamma)),-9.222883834904724e-11*((1/(cosh(V_inf^(-3)*theta^(-3)*R^(3)*Gamma^(-2))^2)) * (-3 * V_inf^(-4)*theta^(-3)*R^(3)*Gamma^(-2))) + 1.7505877694418563e-4*((V_inf^(2)*theta^(2)*r^(3)*Gamma^(2) / (2*abs(V_inf^(2)*theta^(2)*r^(3)*Gamma^(2))^(1.5))) * (2 * V_inf*theta^(2)*r^(3)*Gamma^(2))),-9.222883834904724e-11*((1/(cosh(V_inf^(-3)*theta^(-3)*R^(3)*Gamma^(-2))^2)) * (-3 * V_inf^(-3)*theta^(-4)*R^(3)*Gamma^(-2))) + 1.7505877694418563e-4*((V_inf^(2)*theta^(2)*r^(3)*Gamma^(2) / (2*abs(V_inf^(2)*theta^(2)*r^(3)*Gamma^(2))^(1.5))) * (2 * V_inf^(2)*theta*r^(3)*Gamma^(2))) + 2.093888852471598e-2*((theta^(2)*r^(3)*R^(-2)*Gamma / (2*abs(theta^(2)*r^(3)*R^(-2)*Gamma)^(1.5))) * (2 * theta*r^(3)*R^(-2)*Gamma)),32.35229149892122*((1/(cosh(r^(2)*R^(-1))^2)) * (2 * r*R^(-1))) + 1.7505877694418563e-4*((V_inf^(2)*theta^(2)*r^(3)*Gamma^(2) / (2*abs(V_inf^(2)*theta^(2)*r^(3)*Gamma^(2))^(1.5))) * (3 * V_inf^(2)*theta^(2)*r^(2)*Gamma^(2))) + 2.093888852471598e-2*((theta^(2)*r^(3)*R^(-2)*Gamma / (2*abs(theta^(2)*r^(3)*R^(-2)*Gamma)^(1.5))) * (3 * theta^(2)*r^(2)*R^(-2)*Gamma)),-9.222883834904724e-11*((1/(cosh(V_inf^(-3)*theta^(-3)*R^(3)*Gamma^(-2))^2)) * (3 * V_inf^(-3)*theta^(-3)*R^(2)*Gamma^(-2))) + 32.35229149892122*((1/(cosh(r^(2)*R^(-1))^2)) * (-1 * r^(2)*R^(-2))) + 2.093888852471598e-2*((theta^(2)*r^(3)*R^(-2)*Gamma / (2*abs(theta^(2)*r^(3)*R^(-2)*Gamma)^(1.5))) * (-2 * theta^(2)*r^(3)*R^(-3)*Gamma)),-9.222883834904724e-11*((1/(cosh(V_inf^(-3)*theta^(-3)*R^(3)*Gamma^(-2))^2)) * (-2 * V_inf^(-3)*theta^(-3)*R^(3)*Gamma^(-3))) + 1.7505877694418563e-4*((V_inf^(2)*theta^(2)*r^(3)*Gamma^(2) / (2*abs(V_inf^(2)*theta^(2)*r^(3)*Gamma^(2))^(1.5))) * (2 * V_inf^(2)*theta^(2)*r^(3)*Gamma)) + 2.093888852471598e-2*((theta^(2)*r^(3)*R^(-2)*Gamma / (2*abs(theta^(2)*r^(3)*R^(-2)*Gamma)^(1.5))) * (1 * theta^(2)*r^(3)*R^(-2)))
-16.75437959872206 + 5.564264462576186e-4*(sqrt.abs(theta^(3)*r^(3)*R^(-1)*Gamma^(3))) + 37.76411400742099*(tanh(r^(2)*R^(-1))),,5.564264462576186e-4*((theta^(3)*r^(3)*R^(-1)*Gamma^(3) / (2*abs(theta^(3)*r^(3)*R^(-1)*Gamma^(3))^(1.5))) * (3 * theta^(2)*r^(3)*R^(-1)*Gamma^(3))),5.564264462576186e-4*((theta^(3)*r^(3)*R^(-1)*Gamma^(3) / (2*abs(theta^(3)*r^(3)*R^(-1)*Gamma^(3))^(1.5))) * (3 * theta^(3)*r^(2)*R^(-1)*Gamma^(3))) + 37.76411400742099*((1/(cosh(r^(2)*R^(-1))^2)) * (2 * r*R^(-1))),5.564264462576186e-4*((theta^(3)*r^(3)*R^(-1)*Gamma^(3) / (2*abs(theta^(3)*r^(3)*R^(-1)*Gamma^(3))^(1.5))) * (-1 * theta^(3)*r^(3)*R^(-2)*Gamma^(3))) + 37.76411400742099*((1/(cosh(r^(2)*R^(-1))^2)) * (-1 * r^(2)*R^(-2))),5.564264462576186e-4*((theta^(3)*r^(3)*R^(-1)*Gamma^(3) / (2*abs(theta^(3)*r^(3)*R^(-1)*Gamma^(3))^(1.5))) * (3 * theta^(3)*r^(3)*R^(-1)*Gamma^(2)))
-11.555680193931135 + -3.3579893717508833*(sqrt.abs(Gamma^(-1))) + 9.476624043558995e-2*(sqrt.abs(theta^(2)*r^(3)*R^(-2))) + 29.131621361843884*(tanh(r^(2)*R^(-1))),,9.476624043558995e-2*((theta^(2)*r^(3)*R^(-2) / (2*abs(theta^(2)*r^(3)*R^(-2))^(1.5))) * (2 * theta*r^(3)*R^(-2))),9.476624043558995e-2*((theta^(2)*r^(3)*R^(-2) / (2*abs(theta^(2)*r^(3)*R^(-2))^(1.5))) * (3 * theta^(2)*r^(2)*R^(-2))) + 29.131621361843884*((1/(cosh(r^(2)*R^(-1))^2)) * (2 * r*R^(-1))),9.476624043558995e-2*((theta^(2)*r^(3)*R^(-2) / (2*abs(theta^(2)*r^(3)*R^(-2))^(1.5))) * (-2 * theta^(2)*r^(3)*R^(-3))) + 29.131621361843884*((1/(cosh(r^(2)*R^(-1))^2)) * (-1 * r^(2)*R^(-2))),-3.3579893717508833*((Gamma^(-1) / (2*abs(Gamma^(-1))^(1.5))) * (-1 * Gamma^(-2)))
55.53471218853281 + 7.61651052144166e-5*(sqrt.abs(V_inf^(2)*r^(3)*R^(-1)*Gamma^(2))) + 1.9645261666456344e-5*(exp(Gamma)) + -18.19556414715293*(exp(R^(2))) + -16.064616365528096*(sqrt.abs(r^(-3)*R)),7.61651052144166e-5*((V_inf^(2)*r^(3)*R^(-1)*Gamma^(2) / (2*abs(V_inf^(2)*r^(3)*R^(-1)*Gamma^(2))^(1.5))) * (2 * V_inf*r^(3)*R^(-1)*Gamma^(2))),,7.61651052144166e-5*((V_inf^(2)*r^(3)*R^(-1)*Gamma^(2) / (2*abs(V_inf^(2)*r^(3)*R^(-1)*Gamma^(2))^(1.5))) * (3 * V_inf^(2)*r^(2)*R^(-1)*Gamma^(2))) + -16.064616365528096*((r^(-3)*R / (2*abs(r^(-3)*R)^(1.5))) * (-3 * r^(-4)*R)),7.61651052144166e-5*((V_inf^(2)*r^(3)*R^(-1)*Gamma^(2) / (2*abs(V_inf^(2)*r^(3)*R^(-1)*Gamma^(2))^(1.5))) * (-1 * V_inf^(2)*r^(3)*R^(-2)*Gamma^(2))) + -18.19556414715293*(exp(R^(2)) * (2 * R)) + -16.064616365528096*((r^(-3)*R / (2*abs(r^(-3)*R)^(1.5))) * (1 * r^(-3))),7.61651052144166e-5*((V_inf^(2)*r^(3)*R^(-1)*Gamma^(2) / (2*abs(V_inf^(2)*r^(3)*R^(-1)*Gamma^(2))^(1.5))) * (2 * V_inf^(2)*r^(3)*R^(-1)*Gamma)) + 1.9645261666456344e-5*(exp(Gamma) * 1)
2.0492042776957695 + 2.0492042776957544*(tanh(Gamma^(2))) + 6.5290454055920115*(log(r^(3)*R^(-2))) + 0.13636410696878887*(sqrt.abs(theta^(2)*r^(3)*Gamma)),,0.13636410696878887*((theta^(2)*r^(3)*Gamma / (2*abs(theta^(2)*r^(3)*Gamma)^(1.5))) * (2 * theta*r^(3)*Gamma)),6.5290454055920115*((1/r^(3)*R^(-2)) * (3 * r^(2)*R^(-2))) + 0.13636410696878887*((theta^(2)*r^(3)*Gamma / (2*abs(theta^(2)*r^(3)*Gamma)^(1.5))) * (3 * theta^(2)*r^(2)*Gamma)),6.5290454055920115*((1/r^(3)*R^(-2)) * (-2 * r^(3)*R^(-3))),2.0492042776957544*((1/(cosh(Gamma^(2))^2)) * (2 * Gamma)) + 0.13636410696878887*((theta^(2)*r^(3)*Gamma / (2*abs(theta^(2)*r^(3)*Gamma)^(1.5))) * (1 * theta^(2)*r^(3)))
-15.39806384533746 + 5.76069871689875e-4*(id(V_inf*Gamma)) + 6.518216633764114e-5*(sqrt(theta^(3)*R^(-1)*Gamma^(3))) + 1.0599087903213815e-2*(sqrt.abs(theta^(3)*r^(2)*R^(-2))) + 32.57135134116399*(tanh(r^(2)*R^(-1))),5.76069871689875e-4*((1 * Gamma)),6.518216633764114e-5*((1/(sqrt(theta^(3)*R^(-1)*Gamma^(3))^2)) * (3 * theta^(2)*R^(-1)*Gamma^(3))) + 1.0599087903213815e-2*((theta^(3)*r^(2)*R^(-2) / (2*abs(theta^(3)*r^(2)*R^(-2))^(1.5))) * (3 * theta^(2)*r^(2)*R^(-2))),1.0599087903213815e-2*((theta^(3)*r^(2)*R^(-2) / (2*abs(theta^(3)*r^(2)*R^(-2))^(1.5))) * (2 * theta^(3)*r*R^(-2))) + 32.57135134116399*((1/(cosh(r^(2)*R^(-1))^2)) * (2 * r*R^(-1))),6.518216633764114e-5*((1/(sqrt(theta^(3)*R^(-1)*Gamma^(3))^2)) * (-1 * theta^(3)*R^(-2)*Gamma^(3))) + 1.0599087903213815e-2*((theta^(3)*r^(2)*R^(-2) / (2*abs(theta^(3)*r^(2)*R^(-2))^(1.5))) * (-2 * theta^(3)*r^(2)*R^(-3))) + 32.57135134116399*((1/(cosh(r^(2)*R^(-1))^2)) * (-1 * r^(2)*R^(-2))),5.76069871689875e-4*((1 * V_inf)) + 6.518216633764114e-5*((1/(sqrt(theta^(3)*R^(-1)*Gamma^(3))^2)) * (3 * theta^(3)*R^(-1)*Gamma^(2)))
