
0.17964352847264875 + -2.7514942545498848e-2*(tanh(p^(3)*v)) + -8.295398098206355e-3*(sqrt(T)),-2.7514942545498848e-2*((1/(cosh(p^(3)*v)^2)) * (3 * p^(2)*v)),-2.7514942545498848e-2*((1/(cosh(p^(3)*v)^2)) * (1 * p^(3))),-8.295398098206355e-3*((1/(sqrt(T)^2)) * 1)
0.17964352847264875 + -2.7514942545498848e-2*(tanh(p^(3)*v)) + -8.295398098206355e-3*(sqrt(T)),-2.7514942545498848e-2*((1/(cosh(p^(3)*v)^2)) * (3 * p^(2)*v)),-2.7514942545498848e-2*((1/(cosh(p^(3)*v)^2)) * (1 * p^(3))),-8.295398098206355e-3*((1/(sqrt(T)^2)) * 1)
0.16996924253969584 + -4.131124338485975e-3*(tanh(v^(3)*T)) + 1.613152457615901e-4*(sqrt.abs(p^(-1)*v^(-3))) + -3.456093379442763e-2*(tanh(p^(3)*v)) + -6.331308445008568e-3*(sqrt(T)),1.613152457615901e-4*((p^(-1)*v^(-3) / (2*abs(p^(-1)*v^(-3))^(1.5))) * (-1 * p^(-2)*v^(-3))) + -3.456093379442763e-2*((1/(cosh(p^(3)*v)^2)) * (3 * p^(2)*v)),-4.131124338485975e-3*((1/(cosh(v^(3)*T)^2)) * (3 * v^(2)*T)) + 1.613152457615901e-4*((p^(-1)*v^(-3) / (2*abs(p^(-1)*v^(-3))^(1.5))) * (-3 * p^(-1)*v^(-4))) + -3.456093379442763e-2*((1/(cosh(p^(3)*v)^2)) * (1 * p^(3))),-4.131124338485975e-3*((1/(cosh(v^(3)*T)^2)) * (1 * v^(3))) + -6.331308445008568e-3*((1/(sqrt(T)^2)) * 1)
0.1705078979058252 + -2.872293849116352e-2*(tanh(p^(3)*v)) + -5.346499273023386e-3*(tanh(v^(2)*T)) + -4.070976748575406e-3*(tanh(p^(3)*v^(3))) + -6.397540573033293e-3*(sqrt(T)),-2.872293849116352e-2*((1/(cosh(p^(3)*v)^2)) * (3 * p^(2)*v)) + -4.070976748575406e-3*((1/(cosh(p^(3)*v^(3))^2)) * (3 * p^(2)*v^(3))),-2.872293849116352e-2*((1/(cosh(p^(3)*v)^2)) * (1 * p^(3))) + -5.346499273023386e-3*((1/(cosh(v^(2)*T)^2)) * (2 * v*T)) + -4.070976748575406e-3*((1/(cosh(p^(3)*v^(3))^2)) * (3 * p^(3)*v^(2))),-5.346499273023386e-3*((1/(cosh(v^(2)*T)^2)) * (1 * v^(2))) + -6.397540573033293e-3*((1/(sqrt(T)^2)) * 1)
0.17654807223170507 + -4.300729030695949e-3*(tanh(v^(3)*T)) + -4.664020316021228e-3*(tanh(v^(2)*T)) + -3.465201511245381e-2*(tanh(p^(3)*v)) + -6.460803138896787e-3*(sqrt(T)),-3.465201511245381e-2*((1/(cosh(p^(3)*v)^2)) * (3 * p^(2)*v)),-4.300729030695949e-3*((1/(cosh(v^(3)*T)^2)) * (3 * v^(2)*T)) + -4.664020316021228e-3*((1/(cosh(v^(2)*T)^2)) * (2 * v*T)) + -3.465201511245381e-2*((1/(cosh(p^(3)*v)^2)) * (1 * p^(3))),-4.300729030695949e-3*((1/(cosh(v^(3)*T)^2)) * (1 * v^(3))) + -4.664020316021228e-3*((1/(cosh(v^(2)*T)^2)) * (1 * v^(2))) + -6.460803138896787e-3*((1/(sqrt(T)^2)) * 1)
0.12298070884852469 + 12.04532568693151*(sin(T^(-2))) + 2.8284428694645355e-4*(sqrt(v^(-2))) + 2.0749248390100186e-2*(tanh(p^(-3)*v^(-1))) + -5.704665101941722e-3*(sqrt(T)),2.0749248390100186e-2*((1/(cosh(p^(-3)*v^(-1))^2)) * (-3 * p^(-4)*v^(-1))),2.8284428694645355e-4*((1/(sqrt(v^(-2))^2)) * (-2 * v^(-3))) + 2.0749248390100186e-2*((1/(cosh(p^(-3)*v^(-1))^2)) * (-1 * p^(-3)*v^(-2))),12.04532568693151*(cos(T^(-2)) * (-2 * T^(-3))) + -5.704665101941722e-3*((1/(sqrt(T)^2)) * 1)
0.19809105447984468 + -5.838584572313066e-2*(tanh(p^(3))) + -7.777284561667229e-3*(tanh(p^(3)*v^(3))) + -6.374515049589621e-3*(sqrt(T)),-5.838584572313066e-2*((1/(cosh(p^(3))^2)) * (3 * p^(2))) + -7.777284561667229e-3*((1/(cosh(p^(3)*v^(3))^2)) * (3 * p^(2)*v^(3))),-7.777284561667229e-3*((1/(cosh(p^(3)*v^(3))^2)) * (3 * p^(3)*v^(2))),-6.374515049589621e-3*((1/(sqrt(T)^2)) * 1)
0.22952761678223926 + -2.940231447094722e-3*(cos(v^(-1))) + -1.1224594223852483e-2*(tanh(v^(3)*T)) + -8.942528559620017e-2*(tanh(p)) + -6.265714004495489e-3*(sqrt(T)),-8.942528559620017e-2*((1/(cosh(p)^2)) * 1),-2.940231447094722e-3*((-sin(v^(-1))) * (-1 * v^(-2))) + -1.1224594223852483e-2*((1/(cosh(v^(3)*T)^2)) * (3 * v^(2)*T)),-1.1224594223852483e-2*((1/(cosh(v^(3)*T)^2)) * (1 * v^(3))) + -6.265714004495489e-3*((1/(sqrt(T)^2)) * 1)
0.16951524253393452 + -6.319673564486874e-3*(sqrt(T)) + -2.8076717288745338e-2*(tanh(p^(3)*v)) + -5.299692173155318e-3*(tanh(p^(2)*v^(2))) + -4.636941822305542e-3*(tanh(v^(2)*T)),-2.8076717288745338e-2*((1/(cosh(p^(3)*v)^2)) * (3 * p^(2)*v)) + -5.299692173155318e-3*((1/(cosh(p^(2)*v^(2))^2)) * (2 * p*v^(2))),-2.8076717288745338e-2*((1/(cosh(p^(3)*v)^2)) * (1 * p^(3))) + -5.299692173155318e-3*((1/(cosh(p^(2)*v^(2))^2)) * (2 * p^(2)*v)) + -4.636941822305542e-3*((1/(cosh(v^(2)*T)^2)) * (2 * v*T)),-6.319673564486874e-3*((1/(sqrt(T)^2)) * 1) + -4.636941822305542e-3*((1/(cosh(v^(2)*T)^2)) * (1 * v^(2)))
0.16925565110177423 + 1.341808953595168e-4*(sqrt(v^(-3))) + -3.3120085387316145e-2*(tanh(p^(3)*v)) + -6.806844813426399e-3*(sqrt(T)),-3.3120085387316145e-2*((1/(cosh(p^(3)*v)^2)) * (3 * p^(2)*v)),1.341808953595168e-4*((1/(sqrt(v^(-3))^2)) * (-3 * v^(-4))) + -3.3120085387316145e-2*((1/(cosh(p^(3)*v)^2)) * (1 * p^(3))),-6.806844813426399e-3*((1/(sqrt(T)^2)) * 1)
