datasets/knowledge/aircraft/Aircraft_train.csv
Does the union of sliced domains equal the original domains? True
Number of slices: 64
whole 	 sliced 	 expr
1.0 	 0.0 	 sin(x0^(-1)) + cos(x0^(3))
1.0 	 0.0 	 sin(x0^(-1)) + tanh(x0^(3))
1.0 	 0.0 	 id(x0^(3)) + sin(x0^(-1))
1.0 	 0.0 	 cos(x0^(-1)) + sin(x0^(3))
1.0 	 0.0 	 sqrt(x0^(-2)) + cos(x0)
1.0 	 0.0 	 tanh(x0^(2)) + tanh(x0) + sqrt(x2^(-3))
1.0 	 0.0 	 id(x0^(3)) + sin(x0^(-1))
1.0 	 0.0 	 cos(x0^(-1)) + sin(x0^(3))
1.0 	 0.0 	 id(x4^(3)) + id(x0^(2)) + tan(x0)
1.0 	 0.0 	 tan(x0^(3)) + sin(x0^(-1))
1.0 	 0.0 	 sqrt(x0^(-1)) + exp(x0)
1.0 	 0.0 	 sqrt(x0^(-1)) + exp(x0)
1.0 	 0.0 	 log(x0^(-2)) + log(x0^(-3)) + id(x0^(2))
1.0 	 0.0 	 tan(x0) + sqrt(x0^(-2))
1.0 	 0.0 	 log(x0^(-3)) + id(x0^(2))
1.0 	 0.0 	 tanh(x0^(-1)) + tan(x0^(2)) + tanh(x0)
1.0 	 0.0 	 sqrt(x0^(-1)) + sin(x0^(2))
1.0 	 0.0 	 tanh(x0^(-3)) + id(x0^(2))
1.0 	 0.0 	 sin(x0^(-2)) + exp(x5^(-3)) + sqrt.abs(x0)
1.0 	 0.0 	 sin(x0^(-2)) + tanh(x0^(2))
2.0 	 0.0 	 id(x0) + tanh(x0^(2))
1.0 	 0.0 	 sin(x0^(2)) + cos(x0^(-2))
1.0 	 0.0 	 sqrt(x0^(3)) + tan(x0) + sqrt(x4^(2))
1.0 	 0.0 	 sin(x0^(-1)) + sin(x0^(3))
1.0 	 0.0 	 cos(x0) + sqrt(x0^(-2))
1.0 	 0.0 	 sqrt.abs(x1^(3)) + exp(x1) + tanh(x0^(3))
1.0 	 0.0 	 exp(x0) + tanh(x1^(2)) + id(x1^(3))
1.0 	 0.0 	 id(x1) + sqrt(x1^(-1))
1.0 	 0.0 	 tanh(x0) + tanh(x0^(2))
2.0 	 0.0 	 sqrt.abs(x2^(-3)) + cos(x0) + id(x0^(2))
1.0 	 0.0 	 sqrt(x0^(-2)) + tan(x0)
1.0 	 0.0 	 cos(x0^(-1)) + sin(x0^(2))
1.0 	 0.0 	 cos(x0^(3)) + tanh(x0^(-1)) + sqrt(x0^(2))
1.0 	 0.0 	 tanh(x0) + tanh(x0^(-1)) + id(x0^(2))
1.0 	 0.0 	 sqrt.abs(x0) + tanh(x0^(-1)) + tanh(x0^(3))
1.0 	 0.0 	 sin(x0^(2)) + cos(x0^(-1))
1.0 	 0.0 	 id(x0^(2)) + tan(x0)
1.0 	 0.0 	 tanh(x0^(2)) + tanh(x0) + exp(x0^(3))
1.0 	 0.0 	 sqrt.abs(x0^(-1)) + tan(x0)
1.0 	 0.0 	 sqrt(x0^(-1)) + sin(x0^(2))
1.0 	 0.0 	 id(x0^(2)) + cos(x2) + sqrt(x0^(3))
1.0 	 0.0 	 sin(x0^(2)) + sqrt(x0^(-1))
Ratio:265/9873 = 2.6840879165400587e-2
Ratio (feas x infeas):42/9873 = 4.25402613187481e-3
