datasets/knowledge/aircraft/Aircraft_train.csv
Does the union of sliced domains equal the original domains? True
Number of slices: 1024
whole 	 sliced 	 expr
1.0 	 0.0 	 sin(x0^(2)) + sqrt(x0^(-1))
1.0 	 0.0 	 sqrt(x0^(-2)) + cos(x0)
1.0 	 0.0 	 sqrt(x1^(3)) + sin(x1)
1.0 	 0.0 	 sin(x0^(2)) + exp(x0^(3)) + sqrt(x0)
1.0 	 0.0 	 sqrt(x0^(-1)) + exp(x0)
1.0 	 0.0 	 id(x0^(3)) + sin(x0^(-1))
1.0 	 0.0 	 tanh(x0^(-1)) + cos(x0^(2)) + tanh(x0)
1.0 	 0.0 	 sin(x0^(2)) + cos(x0^(-1))
1.0 	 0.0 	 sin(x0^(-1)) + tanh(x0^(3))
1.0 	 0.0 	 tan(x0) + id(x0^(2))
1.0 	 0.0 	 sqrt.abs(x4) + sqrt(x0^(3)) + cos(x0^(-3))
1.0 	 0.0 	 log(x0^(-1)) + tan(x0) + sqrt.abs(x2^(-2))
2.0 	 0.0 	 id(x0) + tanh(x0^(2))
1.0 	 0.0 	 log(x0^(3)) + tan(x2) + id(x0^(2))
1.0 	 0.0 	 cos(x0^(-1)) + sin(x0^(3))
1.0 	 0.0 	 sin(x0) + tanh(x0^(-1)) + id(x0^(3))
1.0 	 0.0 	 sin(x0^(2)) + cos(x0^(-2))
1.0 	 0.0 	 sin(x0^(-1)) + sin(x0^(3))
1.0 	 0.0 	 cos(x0^(-1)) + tanh(x0^(3))
1.0 	 0.0 	 id(x1^(2)) + sqrt.abs(x0^(-1)) + sqrt(x0^(2))
1.0 	 0.0 	 id(x3) + cos(x0^(-1)) + sin(x0^(2))
1.0 	 0.0 	 exp(x4^(2)) + sin(x0^(3)) + cos(x0^(-1))
1.0 	 0.0 	 sin(x0^(2)) + cos(x0^(-2)) + sin(x2^(2))
1.0 	 0.0 	 sin(x0^(3)) + tanh(x0^(-1)) + sqrt.abs(x2^(-2))
1.0 	 0.0 	 tan(x0) + id(x0^(2))
1.0 	 0.0 	 cos(x0) + sqrt.abs(x0^(-1))
1.0 	 0.0 	 sqrt(x0^(3)) + cos(x0^(2)) + id(x1^(3))
0.0 	 1.0 	 cos(x0^(-1)) + id(x2^(-2)) + exp(x0)
1.0 	 0.0 	 tanh(x0^(-1)) + log(x0^(2)) + id(x0^(3))
1.0 	 0.0 	 id(x0^(3)) + sin(x0^(-2)) + sqrt.abs(x0)
1.0 	 0.0 	 tanh(x0^(2)) + sin(x0^(-2))
1.0 	 0.0 	 sin(x0^(3)) + sin(x0^(-1))
1.0 	 0.0 	 tanh(x0^(2)) + sqrt(x0)
1.0 	 0.0 	 id(x1^(2)) + sqrt(x0^(2)) + sqrt(x0^(-3))
1.0 	 0.0 	 sin(x0^(2)) + cos(x0^(-1))
1.0 	 0.0 	 sqrt(x0^(-1)) + exp(x0)
1.0 	 0.0 	 sin(x0) + sqrt.abs(x4^(3)) + tanh(x0^(2))
1.0 	 0.0 	 tanh(x0^(-1)) + tan(x0^(3)) + sqrt(x0^(-2))
1.0 	 0.0 	 sqrt(x0^(-2)) + cos(x0)
1.0 	 0.0 	 tanh(x0^(2)) + cos(x2^(3)) + tanh(x0)
1.0 	 0.0 	 id(x0^(3)) + tanh(x0^(-1)) + id(x0^(2))
1.0 	 0.0 	 cos(x0) + sqrt(x0^(-2))
Ratio:402/9890 = 4.064711830131446e-2
Ratio (feas x infeas):42/9890 = 4.246713852376138e-3
