datasets/knowledge/RocketFuel/RocketFuel_noise_train.csv
Does the union of sliced domains equal the original domains? True
Number of slices: 64
whole 	 sliced 	 expr
1.0 	 0.0 	 sqrt(x0^(2)*x2) + sqrt(x2^(-3))
1.0 	 0.0 	 log(x0^(2)*x2) + sqrt(x2^(-1))
1.0 	 0.0 	 log(x2^(-2)) + sqrt.abs(x0^(3)*x2)
4.0 	 0.0 	 id(x0*x1*x2^(-1)) + cos(x1^(-3)*x2^(-1)) + id(x0^(2)*x1^(3)*x2^(-3))
2.0 	 0.0 	 log(x0^(2)*x2) + sqrt(x2^(2))
2.0 	 0.0 	 sqrt(x2^(2)) + log(x0^(-1)*x2^(3))
1.0 	 0.0 	 tanh(x0*x2^(-3)) + sqrt.abs(x0^(3)*x2) + sin(x2^(-3))
1.0 	 0.0 	 id(x1^(3)*x2) + tan(x1*x2^(-2))
1.0 	 0.0 	 sqrt(x0^(-2)*x2^(-1)) + tanh(x2^(-1))
2.0 	 0.0 	 sqrt.abs(x2^(2)) + log(x0^(2)*x2)
1.0 	 0.0 	 log(x0*x2) + exp(x2^(-1))
1.0 	 0.0 	 id(x2^(-1)) + exp(x0^(-1)*x2^(-3)) + log(x0^(-3)*x2^(-1))
1.0 	 0.0 	 sqrt(x2^(-1)) + sqrt(x0*x2)
3.0 	 0.0 	 tanh(x1^(2)*x2^(-3)) + sin(x1*x2^(-2))
1.0 	 0.0 	 tanh(x0*x1^(3)*x2) + tan(x2^(-2)) + sin(x0*x2^(-3))
1.0 	 0.0 	 sqrt.abs(x2^(2)) + sqrt(x0^(3)*x2)
1.0 	 0.0 	 tan(x0*x2^(-3)) + sqrt(x0^(2)*x2^(2))
2.0 	 0.0 	 tanh(x1*x2^(-1)) + sin(x1^(2)*x2^(-2))
1.0 	 0.0 	 sqrt(x0*x2) + sqrt(x2^(-1)) + tanh(x0^(2)*x2^(-3))
1.0 	 0.0 	 tanh(x2^(3)) + log(x0^(2)*x2^(-2)) + tan(x0^(-1)*x2^(-3))
1.0 	 0.0 	 sqrt(x0^(3)*x2) + sin(x2^(-1)) + tanh(x0^(3)*x2^(-1))
1.0 	 0.0 	 sqrt(x0^(2)*x2) + sin(x2^(-2))
2.0 	 0.0 	 sqrt(x2^(2)) + log(x0^(-3)*x2^(-1))
2.0 	 0.0 	 log(x0^(3)*x2^(-2)) + log(x0*x2^(-2))
2.0 	 0.0 	 log(x0*x2^(-3)) + id(x2)
2.0 	 0.0 	 exp(x0^(-2)*x2^(-1)) + log(x2)
2.0 	 0.0 	 tanh(x2^(2)) + sqrt(x0^(-3)*x2^(-1)) + sqrt.abs(x2)
Ratio:164/9083 = 1.8055708466365738e-2
Ratio (feas x infeas):27/9083 = 2.9725861499504567e-3
