datasets/knowledge/aircraft/Aircraft_train.csv
Does the union of sliced domains equal the original domains? True
Number of slices: 4096
whole 	 sliced 	 expr
1.0 	 0.0 	 tanh(x0^(-1)) + sqrt(x0^(3)) + tanh(x0^(-2))
1.0 	 0.0 	 sqrt(x0^(2)) + cos(x0) + sqrt(x2^(-3))
1.0 	 0.0 	 id(x1^(3)) + sqrt(x0^(3)) + cos(x0^(-1))
1.0 	 0.0 	 log(x0^(-1)) + sin(x0^(2))
1.0 	 0.0 	 sin(x0^(-2)) + exp(x0) + log(x0^(-1))
1.0 	 0.0 	 cos(x0^(3)) + exp(x0^(2))
1.0 	 0.0 	 log(x0^(3)) + tan(x0)
1.0 	 0.0 	 sin(x0^(2)) + cos(x0^(-2))
1.0 	 0.0 	 sqrt.abs(x0^(-2)) + id(x0^(2))
1.0 	 0.0 	 tan(x0^(3)) + tanh(x0^(-1))
1.0 	 0.0 	 cos(x0^(3)) + tan(x0^(2))
1.0 	 0.0 	 tanh(x0^(2)) + sin(x2^(3)) + tanh(x0)
1.0 	 0.0 	 tanh(x0^(2)) + sqrt(x0)
1.0 	 0.0 	 tan(x0) + sqrt(x0^(-3))
1.0 	 0.0 	 cos(x0^(2)) + tan(x0^(3)) + sqrt(x0^(-2))
1.0 	 0.0 	 tanh(x0^(2)) + log(x0) + sqrt(x2)
1.0 	 0.0 	 sin(x0^(2)) + id(x0^(-2))
1.0 	 0.0 	 id(x1) + log(x1^(-1)) + sqrt(x2)
1.0 	 0.0 	 tan(x0^(2)) + tanh(x0^(-1)) + id(x0)
1.0 	 0.0 	 exp(x0) + log(x0^(2))
1.0 	 0.0 	 tanh(x0^(-2)) + sin(x0^(-1))
1.0 	 0.0 	 id(x0^(3)) + tanh(x0^(-2)) + tanh(x0^(-1))
1.0 	 0.0 	 sin(x0^(2)) + sqrt(x0) + exp(x0^(3))
1.0 	 0.0 	 tan(x0) + id(x0^(2))
1.0 	 0.0 	 log(x0^(-2)) + tan(x0)
1.0 	 0.0 	 sin(x0^(-1)) + sin(x0^(2))
1.0 	 0.0 	 sin(x0^(-2)) + id(x0^(3)) + id(x0^(-1))
1.0 	 0.0 	 tanh(x0^(-1)) + tan(x0^(3))
1.0 	 0.0 	 id(x0^(2)) + sqrt(x5^(-3)) + sqrt.abs(x0^(-2))
