datasets/knowledge/RocketFuel/RocketFuel_noise_train.csv
Does the union of sliced domains equal the original domains? True
Number of slices: 64
whole 	 sliced 	 expr
2.0 	 0.0 	 tanh(x0^(-2)*x2^(-1)) + sqrt(x2^(-2))
2.0 	 0.0 	 sqrt(x0^(-3)*x2^(-1)) + sqrt.abs(x2)
1.0 	 0.0 	 id(x2^(-1)) + log(x0^(3)*x2)
1.0 	 0.0 	 id(x0^(-1)*x2^(-1)) + cos(x0^(-1)*x1*x2^(-3)) + sin(x0*x1*x2^(-3))
2.0 	 0.0 	 sqrt(x0*x2) + sqrt.abs(x2)
1.0 	 0.0 	 tan(x2^(-1)) + log(x0*x2)
1.0 	 0.0 	 log(x2) + log(x2^(2)) + sqrt(x0^(2)*x2)
1.0 	 0.0 	 log(x0^(-3)*x2^(-1)) + sqrt(x2)
1.0 	 0.0 	 sqrt(x0^(-3)*x2^(-2)) + exp(x1*x2^(-3)) + id(x1^(3)*x2^(2))
1.0 	 0.0 	 log(x0^(-3)*x2^(-1)) + log(x2^(2))
2.0 	 0.0 	 sqrt(x2) + tanh(x0^(-2)*x2^(-1))
1.0 	 0.0 	 sqrt(x0^(3)*x2) + sqrt(x2^(-2)) + id(x0^(-2)*x2^(2))
2.0 	 0.0 	 id(x2^(-1)) + tan(x0^(-3)*x2) + exp(x0^(-2)*x2^(-1))
2.0 	 0.0 	 log(x0^(2)*x2^(2)) + sqrt(x2^(-1))
1.0 	 0.0 	 sin(x2^(-1)) + log(x0^(2)*x2)
1.0 	 0.0 	 exp(x2^(-1)) + log(x0*x2)
2.0 	 0.0 	 exp(x0^(-2)*x2^(-1)) + sqrt(x2^(-1))
2.0 	 0.0 	 id(x2) + sqrt.abs(x0^(2)*x2)
1.0 	 0.0 	 log(x2^(-1)) + id(x0^(-3)*x1^(-3)*x2) + sqrt(x0^(3)*x2^(2))
2.0 	 0.0 	 tan(x0*x2^(-3)) + tanh(x0^(-3)*x2^(2)) + sqrt(x0^(3)*x2^(-3))
1.0 	 0.0 	 log(x2) + sqrt(x0^(3)*x2^(2))
3.0 	 0.0 	 sin(x1^(3)*x2^(-2)) + tan(x1*x2^(-2))
3.0 	 0.0 	 id(x1*x2^(-2)) + tanh(x1^(2)*x2^(-2))
1.0 	 0.0 	 sqrt(x2) + id(x0*x2)
1.0 	 0.0 	 tan(x2^(-2)) + sin(x0*x2^(-3))
1.0 	 0.0 	 tanh(x0^(2)*x2^(2)) + log(x0*x2^(-3)) + log(x0^(-2)*x2^(-1))
1.0 	 0.0 	 sqrt(x0^(3)*x2) + id(x0^(2)*x2^(-3))
1.0 	 0.0 	 sqrt(x0^(-1)*x2^(-1)) + log(x0*x2^(-1))
Ratio:187/9049 = 2.0665266880318268e-2
Ratio (feas x infeas):28/9049 = 3.0942645596198476e-3
